run	unique_id	numcells	birthrate	deathrate	mutprob	initialtime	subclone_count	num_mut	num_drivers	is_driver
1	a3.a>22>32>52>54>80>122>136>152>164>224	0	1.166023013614	1.000000000000	1.000000000000	13.285696363512	2	10	7	1
1	a3.a>22>32>52>54>80>122>128>220>236>240>282	0	1.092281048951	1.000000000000	1.000000000000	14.701586861960	0	11	6	1
1	a1.a>174>194>280	0	0.987248726697	1.000000000000	1.000000000000	14.688810460979	0	3	1	0
1	a3.a>22>32>52>54>80>122>136>152>162>190>198>206>226>290	0	1.139941445167	1.000000000000	1.000000000000	14.816388546926	2	14	8	0
1	a3.a>22>32>52>54>80>122>128>286	0	1.110811851084	1.000000000000	1.000000000000	14.730936253794	1	8	4	0
1	a3.a>22>32>52>54>80>122>128>130>272>276>278	0	1.129852121394	1.000000000000	1.000000000000	14.572289892921	1	11	6	1
1	a3.a>22>32>52>54>80>122>128	0	1.112696464559	1.000000000000	1.000000000000	11.282670926220	6	7	4	0
1	a1.a>68>78>106>110>124>138>144>218>268	0	1.077144034907	1.000000000000	1.000000000000	14.358088378217	0	9	7	1
1	a3.a>22>32>52>54>80>122>136>152>162>190>198>206>226>290>294	0	1.142961445666	1.000000000000	1.000000000000	14.850940093996	0	15	9	1
1	a3.a>22>32>52>54>80>122>136>176>212>274	0	1.134262500420	1.000000000000	1.000000000000	14.474867510248	3	10	6	0
1	a3.a>22>32>52>54>80>122>128>130>272	0	1.123649978711	1.000000000000	1.000000000000	14.468810062045	1	9	5	0
1	a3.a>22>32>52>54>80>166>182>210>244>298>312	0	1.127333100891	1.000000000000	1.000000000000	15.041430172071	0	11	6	0
1	a1.a>68>78>106>110>124>134>150>200>230>310>316	0	1.041148013831	1.000000000000	1.000000000000	15.124791416542	0	11	7	1
1	a1.a>174>194	0	0.988912918425	1.000000000000	1.000000000000	12.752730476738	2	2	1	1
1	a3.a>22>32>52>54>80>122>136>176>212>246>306	0	1.128915070926	1.000000000000	1.000000000000	14.956488713717	0	11	7	1
1	a3.a>22>32>52>54>80>122>128>220>236>240	0	1.089236986628	1.000000000000	1.000000000000	13.670014416668	2	10	5	1
1	a3.a>22>32>52>54>80>122>128>284>336	0	1.119416941523	1.000000000000	1.000000000000	15.379629947387	0	9	5	0
1	a3.a>22>32>52>54>80>122>128>284>340	0	1.110574619447	1.000000000000	1.000000000000	15.432209907730	1	9	5	0
1	a1.a>68>78>106>110>124>134>150>200>230>310	0	1.039819448207	1.000000000000	1.000000000000	14.999152463554	3	10	6	1
1	a1.a>68>78>106>110>124>134>150>200>230	0	1.031461891138	1.000000000000	1.000000000000	13.335333476361	1	9	5	0
1	a3.a>22>32>52>54>80>122>136>176>212>274>296	0	1.118586203314	1.000000000000	1.000000000000	14.873766973698	1	11	6	0
1	a1.a>174>194>320	0	0.988429657343	1.000000000000	1.000000000000	15.165976993898	0	3	1	0
1	a3.a>22>32>52>54>80>122>136>176>212>274>288	0	1.132669074999	1.000000000000	1.000000000000	14.808673611941	2	11	6	0
1	a3.a>22>32>52>54>80>122>136>176>212>274>288>328	0	1.142264361109	1.000000000000	1.000000000000	15.255961465159	0	12	7	1
1	a3.a>22>32>52>54>80>122>136>176>212>246	0	1.128651151976	1.000000000000	1.000000000000	13.738733342792	3	10	6	0
1	a3.a>22>32>52>54>80>122>128>248>250>266>356	0	1.152164753233	1.000000000000	1.000000000000	15.643386209855	0	11	7	0
1	a3.a>22>32>52>54>80>166>182>210>244>314>318>348	0	1.126473441887	1.000000000000	1.000000000000	15.521190844979	0	12	7	0
1	a3.a>22>32>52>54>80>122>128>130	0	1.124799486493	1.000000000000	1.000000000000	11.426409441940	2	8	5	1
1	a3.a>22>32>52>54>80>122>128>130>272>276	0	1.115423561766	1.000000000000	1.000000000000	14.493802966971	1	10	5	0
